Nom;SIRET;SIREN;Adresse;Code Postal;Ville;Téléphone;Code NAF;Catégorie;Zone Recherche;Secteur S&Y
LAVANCE EXPLOITATION;41511264800241;415112648;21 RUE LAVOISIER (LILLE) 59800 LILLE;59800;LILLE;+33 3 20 30 66 29;45.20A;garage;Lille;BTP / Mécanique
MIDAS FRANCE;99753681800336;997536818;1 BOULEVARD DE LA LORRAINE 59800 LILLE;59800;LILLE;+33 6 04 72 65 49;45.20A;garage;Lille;BTP / Mécanique
STIMCAR FRANCE;84341345100058;843413451;COMMUNE DE LOMME 3 RUE LAVOISIER (LILLE) 59800 LILLE;59800;LILLE;+33 3 20 31 00 57;45.20A;garage;Lille;BTP / Mécanique
J&M SCOOTER (JM MOTORS);52281866500047;522818665;49 RUE CAMILLE DESMOULINS 59000 LILLE;59000;LILLE;+33 1 43 43 35 41;45.20A;garage;Lille;BTP / Mécanique
REPAIR AND RUN (REPAIR & RUN);82761563400108;827615634;13 PL PIERRE MENDES FRANCE 59000 LILLE;59000;LILLE;+33 3 20 40 67 18;95.29Z;garage;Lille;BTP / Mécanique
ESSALMI (ESSALMI);81828737700050;818287377;66 RUE DU MOLINEL (LILLE) 59800 LILLE;59800;LILLE;+33 9 73 25 39 82;45.20A;garage;Lille;BTP / Mécanique
GARAGE REPUBLIQUE SAS - FLAMENT & FILS CARROSSERIE FLAMENTMERLI N;30466994800040;304669948;80 BOULEVARD MONTEBELLO 59000 LILLE;59000;LILLE;+33 3 20 09 11 60;45.20A;garage;Lille;BTP / Mécanique
TOTAL REPAIR GROUP;80368595700018;803685957;12 PLACE SAINT-HUBERT 59800 LILLE;59800;LILLE;+33 3 21 42 15 72;45.20A;garage;Lille;BTP / Mécanique
PRO CLASSICS;92012171200011;920121712;RESIDENCE LES IMPERIALES 194 RUE NATIONALE 59000 LILLE;59000;LILLE;+33 7 83 18 38 45;70.10Z;garage;Lille;BTP / Mécanique
J.M.DIFFUSION;89741027000010;897410270;51 BOULEVARD DE LA LIBERTE 59800 LILLE;59800;LILLE;+33 3 72 27 04 60;52.21Z;garage;Lille;BTP / Mécanique
GSL (GSL);94221982500026;942219825;237 RUE NATIONALE 59800 LILLE;59800;LILLE;+33 1 42 78 60 64;45.20A;garage;Lille;BTP / Mécanique
SHINE UP (CAP LAVAGE);93098904100015;930989041;229 RUE DE SOLFERINO 59000 LILLE;59000;LILLE;+33 3 20 30 35 20;45.20A;garage;Lille;BTP / Mécanique
AUTOREFINE;97803624200011;978036242;17 RUE DE LA BARRE 59800 LILLE;59800;LILLE;+33 3 62 26 37 30;45.20A;garage;Lille;BTP / Mécanique
CARROSSERIE LESPINEUX;42127797100022;421277971;235 RUE DU BUISSON 59800 LILLE;59800;LILLE;+33 3 20 55 03 88;45.20A;garage;Lille;BTP / Mécanique
UNIVERSAL SERVICE (US);38265150300056;382651503;6 PLACE SAINT-ANDRE 59800 LILLE;59800;LILLE;+33 7 58 46 32 07;45.11Z;garage;Lille;BTP / Mécanique
4X4 SERVICE +;35076580600020;350765806;20 RUE HEGEL 59000 LILLE;59000;LILLE;+33 3 21 02 50 43;45.20A;garage;Lille;BTP / Mécanique
SEBASTIEN DEFAUX;42453723100021;424537231;18 AVENUE DE BRETAGNE 59000 LILLE;59000;LILLE;+33 9 53 78 57 41;50.2Z;garage;Lille;BTP / Mécanique
GARAGE DELMAERE;32521420300011;325214203;62 RUE DE DOUAI 59000 LILLE;59000;LILLE;+33 3 20 52 53 17;50.2Z;garage;Lille;BTP / Mécanique
ANDRE JOUGLARD (RENOVCARS);80114239900014;801142399;37 CITE SAINT-MAURICE 59800 LILLE;59800;LILLE;+33 3 59 89 74 50;68.20A;garage;Lille;BTP / Mécanique
GENERALE TRADING;88486181600020;884861816;229 RUE DE SOLFERINO 59000 LILLE;59000;LILLE;+33 5 53 51 74 94;45.20A;garage;Lille;BTP / Mécanique
PAC PRO AUTO CENTRE (PAC PRO AUTO CENTRE);98774558500024;987745585;57 RUE BONTE POLLET 59000 LILLE;59000;LILLE;+33 3 20 00 17 20;45.32Z;garage;Lille;BTP / Mécanique
LECLERCQ PHILIPPE (CARWASH-CENTER ET TAXI);44395149600027;443951496;LIEU D EXPLOITATION LILLE 22 RUE JACQUARD (HELLEMMES-LILLE) 59000 LILLE;59000;LILLE;+33 3 20 91 11 25;45.20A;garage;Lille;BTP / Mécanique
GARAGE D'ESQUERMES;42807302700016;428073027;107 RUE D'ESQUERMES 59000 LILLE;59000;LILLE;+33 3 20 31 79 15;45.20A;garage;Lille;BTP / Mécanique
RACHID AFRAS (MECA-R);43152823100019;431528231;226 RUE PIERRE LEGRAND 59800 LILLE;59800;LILLE;+33 9 88 06 40 24;74.1J;garage;Lille;BTP / Mécanique
GARAGE LICTEVOUT;41393132000019;413931320;910 AVENUE DE DUNKERQUE (LOMME) 59000 LILLE;59000;LILLE;+33 3 20 22 02 02;45.20A;garage;Lille;BTP / Mécanique
L ATELIER DU 71;52331465600019;523314656;71 RUE DU FAUBOURG DE ROUBAIX 59800 LILLE;59800;LILLE;+33 3 85 76 62 63;45.20A;garage;Lille;BTP / Mécanique
CARROSSERIE ALEXANDRE;49761438800021;497614388;253 BOULEVARD DE LEEDS 59777 LILLE;59777;LILLE;+33 4 78 59 35 80;45.20A;garage;Lille;BTP / Mécanique
ETS VAN LAECKE;38994717700017;389947177;102 RUE DE MARQUILLIES 59000 LILLE;59000;LILLE;+33 3 20 86 13 67;45.20A;garage;Lille;BTP / Mécanique
SOC NOUVELLE GARAGE JANSSENS;42307731200019;423077312;20 RUE DE MULHOUSE 59000 LILLE;59000;LILLE;+33 3 20 52 14 14;45.20A;garage;Lille;BTP / Mécanique
LAHCINE BENHAMED;52098130900021;520981309;94 RUE KUHLMANN (LOMME) 59000 LILLE;59000;LILLE;+33 9 51 69 99 80;45.20A;garage;Lille;BTP / Mécanique
AUTO LILLOISE (SARL AUTO-LILLOISE);80291800300012;802918003;14 RUE COUSTOU 59800 LILLE;59800;LILLE;+33 6 16 87 65 40;45.20A;garage;Lille;BTP / Mécanique
MATLEO;80003313600014;800033136;95 RUE DU VINGTIEME SIECLE 59160 LILLE;59160;LILLE;+33 9 83 43 00 61;45.20A;garage;Lille;BTP / Mécanique
SVL;84031877800015;840318778;44 B RUE DU FAUBOURG D'ARRAS 59000 LILLE;59000;LILLE;+33 5 61 58 39 99;45.20A;garage;Lille;BTP / Mécanique
MARC PHILIPPE (OLD'S SERVICE);82900621200015;829006212;APT 1405 83 AVENUE WILLY BRANDT 59777 LILLE;59777;LILLE;+33 7 58 46 32 07;53.20Z;garage;Lille;BTP / Mécanique
MOURAD MAZRI (CLEAN AUTO LIFTING);83200938500010;832009385;APT 51 12 RUE DES CATICHES 59000 LILLE;59000;LILLE;+33 6 83 76 64 12;45.20A;garage;Lille;BTP / Mécanique
GARIBALDI MECANIQUE AUTO (GARIBALDI MECANIQUE AUTO);83300983000013;833009830;18 B RUE GARIBALDI 59000 LILLE;59000;LILLE;+33 3 61 05 73 65;45.20A;garage;Lille;BTP / Mécanique
CLASSIC PRESTIGE MOTORS (CLASSIC PRESTIGE MOTORS);82401420300015;824014203;3 RUE DU DOCTEUR HUART 59260 LILLE;59260;LILLE;+33 6 09 41 16 35;45.20A;garage;Lille;BTP / Mécanique
ETS MICHEL GUSMINI;32383992800039;323839928;40 RUE DU COEUR JOYEUX 59160 LILLE;59160;LILLE;+33 3 20 93 83 42;45.20A;garage;Lille;BTP / Mécanique
SARL BOYET;33168928100011;331689281;270 RUE DU FAUBOURG D'ARRAS 59000 LILLE;59000;LILLE;+33 4 74 59 00 41;45.20A;garage;Lille;BTP / Mécanique
SARL PERTHAME;34083511500015;340835115;144 RUE DU FAUBOURG DE ROUBAIX 59800 LILLE;59800;LILLE;+33 3 20 55 45 94;45.20A;garage;Lille;BTP / Mécanique
WILLY CALLEWAERT;39391901400018;393919014;2 PLACE ROGER SALENGRO 59800 LILLE;59800;LILLE;+33 2 32 24 69 90;52.6E;garage;Lille;BTP / Mécanique
GARAGE BIENVENUE;44045225800013;440452258;2 RUE DE BELLE VUE 59000 LILLE;59000;LILLE;+33 1 69 20 86 76;45.20A;garage;Lille;BTP / Mécanique
MOHAMAD AHMAD (AYA SERVICES);48977675700028;489776757;PARC DES EXPOSI ETR 8 PORTE 005 8 AVENUE EUGENE VARLIN 59800 LILLE;59800;LILLE;+33 3 20 08 63 18;45.20A;garage;Lille;BTP / Mécanique
HAKIM KAOUACHE (KIMAUTO59);48982579400030;489825794;B57 LES FLEURS DU PARC 1 RUE THEODORE MONOD 59160 LILLE;59160;LILLE;+33 6 95 47 59 54;45.20A;garage;Lille;BTP / Mécanique
DESMET;49019240800022;490192408;QUARTIER EURALILLE 253 BOULEVARD DE LEEDS 59777 LILLE;59777;LILLE;+33 4 93 04 75 41;45.20A;garage;Lille;BTP / Mécanique
SINEO LILLE;50166437900028;501664379;137 RUE DU FAUBOURG DE ROUBAIX 59800 LILLE;59800;LILLE;+33 3 20 81 25 84;45.20A;garage;Lille;BTP / Mécanique
PREMIUM CAR HELLEMMES;82753558400029;827535584;22 RUE JULES FERRY - HELLEMMES 59000 LILLE;59000;LILLE;+33 3 59 54 32 24;45.20A;garage;Lille;BTP / Mécanique
E.M.AUTOEXPERTS (E.M.AUTOEXPERTS);51932375200013;519323752;98 RUE DES POSTES 59000 LILLE;59000;LILLE;+33 3 20 51 14 40;45.32Z;garage;Lille;BTP / Mécanique
AUTO-MECA NORD (AUTO-MECA NORD);74982300100013;749823001;14 RUE COUSTOU 59800 LILLE;59800;LILLE;+33 3 62 52 24 41;45.20A;garage;Lille;BTP / Mécanique
LILLE AUTO VAPEUR (LILLE AUTO VAPEUR);53792846700019;537928467;37 RUE GUSTAVE NADAUD 59000 LILLE;59000;LILLE;+33 3 20 50 94 94;45.20A;garage;Lille;BTP / Mécanique
STEPHANE MANIER;53805525200018;538055252;278 ALLEE DES PEUPLIERS 59000 LILLE;59000;LILLE;+33 9 71 37 90 89;45.20A;garage;Lille;BTP / Mécanique
DEL FABRO;79018935100014;790189351;32 RUE DE BAPAUME 59000 LILLE;59000;LILLE;+33 9 61 50 39 46;45.20A;garage;Lille;BTP / Mécanique
O.Y STATION (O.Y STATION);88036679400019;880366794;98 RUE DES POSTES 59000 LILLE;59000;LILLE;+33 3 20 30 66 29;45.31Z;garage;Lille;BTP / Mécanique
ERBAY YILDIRIM (MMB AUTO SERVICE A DOMICILE);52983117400022;529831174;FIVES 73 RUE FRANCISCO FERRER 59800 LILLE;59800;LILLE;+33 3 62 13 42 06;45.20A;garage;Lille;BTP / Mécanique
ELKA.AUTO;53275703600019;532757036;466 RUE DU FAUBOURG D'ARRAS 59000 LILLE;59000;LILLE;+33 3 20 68 14 93;45.20A;garage;Lille;BTP / Mécanique
A.B.D PAREBRISE (PAREBRISE EXPRESSO);85091050600029;850910506;104 RUE NATIONALE 59000 LILLE;59000;LILLE;+33 6 66 92 76 41;45.20A;garage;Lille;BTP / Mécanique
