raison_sociale;telephone;adresse;code_postal;ville;siret;siren;type_etablissement;code_naf;site_web;email;source
100% Pneu;01 60 86 38 21;;;;;;garage_auto;;;;OpenStreetMap
123 Pare-Brise;;;;;;;garage_auto;;;;OpenStreetMap
4x4=16;;;;;;;garage_auto;;;;OpenStreetMap
A+ Glass;08 00 33 20 00;;;;;;garage_auto;;https://www.aplusglass.com/centre-portet-sur-garonne-31270;;OpenStreetMap
A+ Glass;08 00 33 20 00;;;;;;garage_auto;;https://www.aplusglass.com/centre-muret-31600;;OpenStreetMap
A+ Glass;08 00 33 20 00;;;;;;garage_auto;;https://www.aplusglass.com/centre-cugnaux-31270;;OpenStreetMap
A+ Glass;05 61 21 40 71;;;;;;garage_auto;;https://aplusglasslunion.fr/;;OpenStreetMap
A+ Glass;08 00 33 20 00;;;;;;garage_auto;;https://www.aplusglass.com/centre-fonsorbes-31470;;OpenStreetMap
A+ Glass;08 00 33 20 00;;;;;;garage_auto;;https://www.aplusglass.com/centre-castanet-31320;;OpenStreetMap
A+ Glass;05 61 25 01 68;;;;;;garage_auto;;;;OpenStreetMap
A+ Glass;05 62 17 25 08;;;;;;garage_auto;;https://www.aplusglass.com/centre-toulouse-ramonville-31400/;;OpenStreetMap
A+ Glass;09 73 21 06 46;;;;;;garage_auto;;https://www.aplusglass.com/centre-bretigny-91220;;OpenStreetMap
A+ Glass;01 88 76 00 11;;;;;;garage_auto;;https://www.fluide.glass/rdv/index/24911175;;OpenStreetMap
A+ Glass;09 50 48 30 88;;;;;;garage_auto;;https://www.aplusglass.com/centre-saint-pierre-perray-91280;;OpenStreetMap
A+ Glass;01 87 90 96 23;;;;;;garage_auto;;https://www.aplusglass.com/centre-morsang-sur-orge-91390;;OpenStreetMap
A+ glass vitrage automobile;;;;;;;garage_auto;;;;OpenStreetMap
A+Glass;08 00 33 20 00;;;;;;garage_auto;;https://www.aplusglass.com/centre-toulouse-charles-de-fitte-31300;;OpenStreetMap
A+Glass Mobile Balma;08 00 33 20 00;;;;;;garage_auto;;https://www.aplusglass.com/centre-balma-31130;;OpenStreetMap
ALD Automotive;;;;;;;garage_auto;;;;OpenStreetMap
ARG (Automobile Régis Guillard);;;;;;;garage_auto;;;;OpenStreetMap
Ado - Auto Distribution Occitane;05 32 09 49 66;;;;;;garage_auto;;https://adotoulouseetatsunis.espacevo.fr/;;OpenStreetMap
Agency Car Toulouse;05 54 54 64 22;;;;;;garage_auto;;https://www.agencycar.fr/;;OpenStreetMap
Allo SOS Auto;;;;;;;garage_auto;;;;OpenStreetMap
